_id,tiempoTotalMinutos,promedioSesionMinutos,totalSesiones
3223,21.890800000000002,7.296933333333334,3
3047,430.8197,17.232788,25
2939,427.15818333333334,13.77929623655914,31
2692,0,0,38
3178,0.42868333333333336,0.42868333333333336,1
2970,312.47973333333334,44.639961904761904,7
3290,0,0,1
2829,46.6785,23.33925,2
2073,0,0,8
2603,0,0,13
3322,0,0,2
3097,0,0,1
3090,0,0,2
3142,185.64838333333333,16.877125757575758,11
2977,0,0,13
1951,0,0,35
205,0,0,29
3074,86.01961666666666,28.673205555555555,3
2396,0,0,1
2653,0,0,21
2190,0,0,86
2828,1369.45145,97.81796071428572,14
3164,66.2685,33.13425,2
2874,123.39798333333333,15.424747916666666,8
3311,55.1677,27.58385,2
2842,3.0153333333333334,0.335037037037037,9
3061,0,0,7
2401,0,0,2
2998,0,0,7
35,513257.66261666664,271.56490085537916,1890
2890,0,0,1
1896,0,0,4
1983,25.439483333333335,0.5781700757575758,44
3281,0,0,2
2656,0,0,3
3239,0,0,4
2688,0,0,4
3343,5.09505,5.09505,1
111,29743.495966666665,40.969002708907254,726
2968,0,0,7
3338,0,0,1
3232,0,0,1
2886,89.93543333333334,9.992825925925926,9
3031,0,0,1
3346,0,0,1
3038,355.1125166666667,88.77812916666667,4
3339,0,0,1
3104,165.22018333333332,82.61009166666666,2
3111,0,0,1
930,0.019733333333333332,0.0017939393939393937,11
1944,0,0,1
2479,35814.388133333334,198.96882296296297,180
3287,0,0,7
3068,0,0,2
2994,0,0,1
2236,0,0,49
317,0,0,136
3308,83.18513333333334,3.4660472222222225,24
2962,0,0,1
3238,0,0,1
124,91405.30173333333,182.44571204258148,501
2497,0,0,4
3273,0,0,1
2750,86.0752,5.738346666666667,15
2770,67.52916666666667,13.505833333333333,5
2985,0,0,105
2737,0,0,1
2885,0,0,1
417,0,0,1
2832,0,0,1
692,1047.19765,3.30346261829653,317
2299,0,0,29
2811,4.03125,1.34375,3
2800,452.12245,18.838435416666666,24
2413,0,0,2
3201,91.08928333333334,15.181547222222223,6
2803,20.63835,6.879449999999999,3
123,397275.1098166667,221.57005567019894,1793
3256,28.249833333333335,4.035690476190476,7
3150,0,0,4
2156,0,0,7
3307,0,0,1
3084,0,0,3
3270,0,0,1
2825,0,0,1
3086,0,0,1
3326,0,0,1
2752,4.1963333333333335,1.0490833333333334,4
3283,0,0,1
2851,117.71298333333334,19.618830555555558,6
462,6055.429183333334,17.057546995305167,355
3059,918.9209000000001,83.53826363636364,11
2891,0,0,1
304,48.663866666666664,4.423987878787878,11
3030,0,0,1
2601,974.0390166666666,2.529971471861472,385
1737,124360.4536,193.10629440993787,644
2001,0,0,4
3241,0,0,1
3048,0,0,1
2321,0,0,1
2953,0,0,1
2663,0,0,8
3220,0,0,1
405,0,0,46
3260,236.38238333333334,4.545815064102564,52
1384,0,0,9
1945,0,0,46
2951,440.3648,24.46471111111111,18
2255,165589.06258333335,40.94685029261458,4044
3066,0,0,1
2942,1209.05855,44.779946296296295,27
3119,13.720616666666666,2.7441233333333335,5
3146,0,0,1
11,0,0,2
3052,0,0,4
2995,0,0,4
3204,1394.4047166666667,154.9338574074074,9
2628,72226.8062,171.9685861904762,420
3189,0,0,1
3300,0,0,2
2761,0,0,1
3329,0,0,1
3208,2.73325,0.9110833333333334,3
110,12114.029433333333,53.84013081481481,225
253,26232.409766666668,200.2474027989822,131
1973,0,0,39
2721,0,0,2
2602,7525.34605,46.7412798136646,161
3137,0,0,1
3050,0,0,1
3190,0,0,1
311,826.66215,45.925675,18
382,728.4914666666667,22.075498989898993,33
2853,120.47866666666667,17.211238095238095,7
3154,0,0,5
3192,33.06171666666667,8.265429166666667,4
2006,120.97021666666666,30.242554166666665,4
3327,0,0,2
2505,2.373283333333333,0.33904047619047617,7
1160,0,0,25
2235,0,0,1
331,15178.780516666668,16.978501696495155,894
2833,78.03346666666667,19.508366666666667,4
2809,15807.058166666666,173.70393589743588,91
2089,2.1173,0.14115333333333335,15
2804,18.332116666666664,4.583029166666666,4
3309,0,0,1
2866,7.451766666666667,1.241961111111111,6
2678,461.9977,0.8733415879017014,529
2729,0,0,1
3081,0,0,2
3139,0,0,1
3230,721.0153333333333,360.50766666666664,2
1992,0,0,2
3181,170.50725,17.050725,10
2768,56.64188333333333,2.462690579710145,23
2758,0,0,2
2815,198.02963333333332,66.00987777777777,3
2452,594.5556166666667,16.06907072072072,37
258,98.21249999999999,16.36875,6
2796,165.5636333333333,41.39090833333333,4
2686,0,0,1
2769,6.644816666666666,0.6040742424242423,11
2907,116.5515,23.3103,5
1988,251.44643333333335,3.1828662447257385,79
2684,565.0403666666666,24.566972463768113,23
95,519930.29538333334,171.93462148919753,3024
2526,0,0,52
2610,0,0,23
450,0,0,21
2690,0,0,6
2139,0,0,3
2665,499.42716666666666,2.729110200364299,183
2894,15.405816666666666,7.702908333333333,2
3015,0,0,4
1696,138010.55153333335,91.701363145072,1505
1925,222.89353333333332,4.0526096969696965,55
2860,26.891733333333335,3.8416761904761905,7
2130,21624.592716666666,175.80969688346883,123
3337,0,0,1
3275,0,0,1
316,128704.6851,222.28788445595856,579
1639,410.0304,20.50152,20
3016,0,0,3
138,0,0,4
2425,0,0,124
1633,0,0,2
3219,0,0,1
2919,0,0,2
321,63.10515,1.2878602040816327,49
2774,0,0,103
183,13545.89205,22.57648675,600
2955,0,0,7
2482,0,0,1
2861,0,0,1
288,237265.32703333333,187.85853288466615,1263
2480,0,0,1
28,0,0,12
3228,496.228,165.40933333333334,3
2881,0,0,1
